LeftRight,Area,Test_Year,Test_Quarter,Brand,Size,Make,Number_of_Owners,Age_as_of_Test,Liveline_Usage,PreArrange_Usage,Number_of_Usage,Leakage_mA,Test_Result
Right,South,2023,Q1,Novax,10,Composite,4,3.75,264.0,890.0,1154.0,3.151,Fail
Right,North,2023,Q4,3M,10,Composite,4,2.0,579.0,108.0,687.0,1.933,Pass
Right,South,2025,Q3,Honeywell,9,EPDM,2,2.0,121.0,165.0,286.0,2.476,Pass
Left,South,2023,Q2,3M,7,Latex Rubber,4,0.75,994.0,803.0,1797.0,2.238,Pass
Right,Central,2024,Q1,Honeywell,7,EPDM,4,0.5,1007.0,639.0,1646.0,2.047,Pass
Left,South,2024,Q3,CATU,9,Latex Rubber,2,3.25,470.0,58.0,528.0,2.322,Pass
Right,South,2024,Q2,Novax,7,Composite,3,2.5,717.0,38.0,755.0,2.904,Pass
Left,Central,2024,Q3,Novax,8,Latex Rubber,2,1.25,896.0,246.0,1142.0,2.995,Pass
Right,South,2023,Q1,3M,7,Composite,2,0.75,1125.0,894.0,2019.0,2.755,Pass
Left,South,2023,Q1,Honeywell,9,EPDM,3,2.25,1085.0,117.0,1202.0,2.661,Pass
Left,South,2024,Q4,Novax,9,EPDM,4,2.25,529.0,322.0,851.0,2.322,Pass
Right,North,2023,Q1,Honeywell,8,Latex Rubber,3,0.75,821.0,27.0,848.0,0.284,Pass
Left,North,2024,Q1,Novax,10,EPDM,4,3.5,1131.0,562.0,1693.0,4.121,Fail
Right,South,2023,Q2,Honeywell,9,Composite,4,0.25,245.0,828.0,1073.0,1.47,Pass
Right,South,2023,Q4,CATU,8,Composite,3,1.5,936.0,651.0,1587.0,2.767,Pass
Right,Central,2024,Q2,CATU,7,Latex Rubber,2,2.75,566.0,122.0,688.0,2.076,Pass
Right,South,2023,Q3,3M,7,EPDM,3,1.0,658.0,705.0,1363.0,1.884,Pass
Right,North,2024,Q1,Honeywell,8,Latex Rubber,4,3.25,243.0,647.0,890.0,2.683,Pass
Right,North,2024,Q3,CATU,8,Composite,3,3.0,1065.0,216.0,1281.0,3.614,Fail
Right,Central,2025,Q2,Honeywell,9,Composite,3,3.25,588.0,422.0,1010.0,2.807,Pass
Right,Central,2023,Q1,Honeywell,7,Composite,4,0.5,551.0,117.0,668.0,2.218,Pass
Right,South,2023,Q1,Honeywell,8,Latex Rubber,2,0.5,123.0,48.0,171.0,0.944,Pass
Right,North,2023,Q2,Novax,7,EPDM,3,1.25,213.0,132.0,345.0,0.66,Pass
Right,South,2024,Q2,Novax,8,Latex Rubber,4,2.0,1062.0,880.0,1942.0,3.084,Fail
Left,South,2024,Q2,CATU,7,Composite,4,3.0,652.0,162.0,814.0,2.357,Pass
Left,South,2023,Q2,Novax,10,EPDM,3,3.25,483.0,789.0,1272.0,2.135,Pass
Right,Central,2025,Q2,Honeywell,9,EPDM,2,2.75,706.0,831.0,1537.0,3.996,Fail
Right,Central,2023,Q1,Honeywell,7,Composite,3,3.75,262.0,398.0,660.0,3.308,Fail
Right,South,2024,Q2,Novax,10,Latex Rubber,2,3.0,914.0,871.0,1785.0,3.823,Fail
Right,South,2024,Q1,3M,7,Latex Rubber,2,1.25,395.0,856.0,1251.0,2.196,Pass
Right,North,2025,Q1,3M,7,Latex Rubber,2,1.0,71.0,516.0,587.0,0.687,Pass
Right,South,2024,Q2,Novax,10,EPDM,2,2.75,524.0,49.0,573.0,2.086,Pass
Right,South,2025,Q2,CATU,7,Composite,3,0.75,439.0,112.0,551.0,1.629,Pass
Right,South,2023,Q4,Novax,7,Composite,4,0.25,589.0,223.0,812.0,0.643,Pass
Left,South,2025,Q1,Novax,9,Latex Rubber,4,2.25,1174.0,447.0,1621.0,1.731,Pass
Right,South,2023,Q2,3M,10,Composite,4,3.25,752.0,834.0,1586.0,3.401,Fail
Left,Central,2025,Q2,Novax,10,EPDM,4,0.5,684.0,319.0,1003.0,1.407,Pass
Right,South,2024,Q2,CATU,8,EPDM,4,3.25,320.0,181.0,501.0,2.606,Pass
Right,South,2025,Q4,Honeywell,7,EPDM,4,3.25,480.0,232.0,712.0,3.093,Fail
Left,North,2024,Q4,Honeywell,9,Latex Rubber,3,2.0,818.0,707.0,1525.0,3.091,Fail
Right,North,2024,Q3,Novax,7,Composite,2,0.25,181.0,676.0,857.0,1.338,Pass
Left,Central,2024,Q1,3M,7,Composite,4,0.75,585.0,271.0,856.0,2.081,Pass
Right,South,2024,Q3,Honeywell,8,Composite,3,2.75,40.0,874.0,914.0,1.876,Pass
Right,South,2023,Q2,Honeywell,7,EPDM,4,2.75,56.0,842.0,898.0,2.873,Pass
Left,North,2023,Q4,Honeywell,9,Composite,4,3.5,139.0,383.0,522.0,3.008,Fail
Right,South,2023,Q4,Honeywell,9,Composite,2,2.25,361.0,493.0,854.0,1.686,Pass
Left,Central,2023,Q3,3M,8,Latex Rubber,2,0.5,987.0,706.0,1693.0,1.347,Pass
Right,South,2025,Q4,CATU,7,Latex Rubber,2,0.5,67.0,691.0,758.0,0.884,Pass
Left,South,2023,Q2,CATU,9,Composite,4,3.0,1139.0,294.0,1433.0,2.909,Pass
Left,South,2025,Q4,Novax,7,EPDM,4,0.75,821.0,361.0,1182.0,2.153,Pass
Right,Central,2023,Q3,CATU,7,Latex Rubber,4,1.25,777.0,661.0,1438.0,1.974,Pass
Right,Central,2023,Q2,3M,7,Composite,2,2.0,692.0,748.0,1440.0,2.268,Pass
Left,North,2025,Q3,Novax,8,Composite,3,0.0,1195.0,876.0,2071.0,1.858,Pass
Right,North,2024,Q4,3M,7,Composite,4,1.0,1006.0,208.0,1214.0,2.502,Pass
Right,South,2024,Q3,Novax,9,EPDM,4,1.75,295.0,217.0,512.0,1.73,Pass
Right,South,2024,Q3,Honeywell,7,Composite,4,1.0,1104.0,556.0,1660.0,2.254,Pass
Left,South,2024,Q1,Novax,9,Latex Rubber,3,0.5,895.0,791.0,1686.0,2.037,Pass
Left,South,2023,Q4,CATU,7,EPDM,4,3.0,406.0,327.0,733.0,3.256,Fail
Left,South,2025,Q4,3M,9,EPDM,3,3.25,35.0,598.0,633.0,2.283,Pass
Left,South,2025,Q3,Honeywell,9,Composite,4,1.0,322.0,185.0,507.0,1.964,Pass
Left,South,2024,Q1,Novax,7,EPDM,3,3.0,135.0,503.0,638.0,2.629,Pass
Left,South,2023,Q4,Honeywell,7,EPDM,4,1.5,820.0,324.0,1144.0,2.074,Pass
Left,North,2024,Q2,3M,9,Latex Rubber,2,2.0,197.0,87.0,284.0,2.906,Pass
Left,Central,2023,Q3,Honeywell,10,Latex Rubber,2,3.5,707.0,307.0,1014.0,2.61,Pass
Left,North,2023,Q4,Honeywell,8,EPDM,2,3.0,819.0,266.0,1085.0,2.75,Pass
Right,South,2023,Q2,Honeywell,10,Latex Rubber,2,3.25,725.0,788.0,1513.0,2.833,Pass
Left,South,2024,Q4,Honeywell,10,Latex Rubber,4,0.5,459.0,204.0,663.0,1.648,Pass
Right,North,2025,Q2,Novax,7,Latex Rubber,2,0.25,532.0,244.0,776.0,1.98,Pass
Right,South,2024,Q3,Honeywell,8,Composite,3,3.5,995.0,696.0,1691.0,4.582,Fail
Right,South,2024,Q4,3M,10,Composite,2,1.5,667.0,687.0,1354.0,2.956,Pass
Left,Central,2024,Q4,Honeywell,7,Composite,2,1.25,606.0,299.0,905.0,1.703,Pass
Left,North,2023,Q1,3M,10,EPDM,2,3.0,109.0,516.0,625.0,2.33,Pass
Left,South,2024,Q3,CATU,10,EPDM,4,3.25,625.0,693.0,1318.0,2.438,Pass
Left,Central,2025,Q2,CATU,7,EPDM,2,3.5,957.0,885.0,1842.0,4.901,Fail
Right,South,2023,Q4,3M,7,Latex Rubber,3,1.25,565.0,400.0,965.0,2.09,Pass
Left,Central,2025,Q4,CATU,7,Latex Rubber,2,3.5,287.0,753.0,1040.0,2.915,Pass
Left,South,2024,Q2,3M,8,Latex Rubber,2,0.25,500.0,142.0,642.0,1.679,Pass
Left,South,2024,Q3,Novax,10,Composite,2,0.25,264.0,843.0,1107.0,0.947,Pass
Left,South,2024,Q1,Novax,7,EPDM,3,2.5,390.0,882.0,1272.0,3.023,Fail
Left,South,2024,Q1,3M,9,Composite,2,0.25,901.0,827.0,1728.0,1.906,Pass
Right,Central,2025,Q4,Novax,10,Composite,3,1.25,551.0,133.0,684.0,1.922,Pass
Left,North,2025,Q2,Honeywell,9,Composite,3,2.75,834.0,53.0,887.0,2.579,Pass
Right,North,2024,Q4,CATU,8,Composite,2,1.25,888.0,680.0,1568.0,1.673,Pass
Left,South,2023,Q2,3M,7,EPDM,3,0.75,1148.0,793.0,1941.0,2.497,Pass
Right,South,2024,Q1,Honeywell,9,Latex Rubber,4,1.25,290.0,297.0,587.0,2.04,Pass
Left,South,2025,Q3,Honeywell,8,Composite,2,1.75,782.0,632.0,1414.0,2.52,Pass
Left,North,2023,Q2,Honeywell,7,EPDM,2,2.0,852.0,540.0,1392.0,3.04,Fail
Right,North,2024,Q1,3M,9,EPDM,3,3.25,728.0,315.0,1043.0,2.503,Pass
Right,North,2024,Q4,3M,9,Composite,3,3.0,337.0,541.0,878.0,2.727,Pass
Right,Central,2024,Q2,CATU,8,EPDM,2,1.75,220.0,643.0,863.0,1.727,Pass
Left,South,2023,Q3,CATU,7,Composite,4,3.5,736.0,238.0,974.0,3.475,Fail
Right,Central,2024,Q4,3M,7,EPDM,3,0.5,932.0,213.0,1145.0,1.621,Pass
Left,Central,2025,Q4,CATU,9,EPDM,3,1.0,561.0,609.0,1170.0,2.248,Pass
Left,South,2023,Q1,Novax,9,Composite,4,3.25,35.0,98.0,133.0,2.751,Pass
Right,Central,2023,Q2,Novax,9,Composite,4,1.5,36.0,331.0,367.0,1.801,Pass
Right,Central,2025,Q4,CATU,7,EPDM,2,4.0,711.0,229.0,940.0,3.483,Fail
Left,South,2023,Q3,Novax,8,Latex Rubber,4,1.75,1116.0,894.0,2010.0,2.572,Pass
Left,Central,2025,Q2,CATU,8,Composite,2,3.25,691.0,796.0,1487.0,3.424,Fail
Right,South,2024,Q3,Honeywell,7,EPDM,4,1.5,422.0,15.0,437.0,1.252,Pass
Right,South,2023,Q4,3M,10,EPDM,3,1.75,176.0,333.0,509.0,1.549,Pass
Right,South,2025,Q3,Honeywell,8,Latex Rubber,2,1.5,178.0,16.0,194.0,1.112,Pass
Left,North,2024,Q1,Novax,9,Latex Rubber,2,3.0,238.0,39.0,277.0,1.709,Pass
Left,South,2024,Q3,Honeywell,10,EPDM,2,2.25,376.0,451.0,827.0,1.303,Pass
Left,Central,2024,Q2,CATU,10,EPDM,4,3.75,537.0,456.0,993.0,2.922,Pass
Left,North,2024,Q3,Honeywell,8,Latex Rubber,3,1.0,800.0,744.0,1544.0,2.336,Pass
Left,Central,2023,Q3,3M,10,EPDM,2,0.5,533.0,224.0,757.0,0.582,Pass
Left,South,2024,Q1,Novax,10,Composite,2,1.5,1105.0,445.0,1550.0,2.528,Pass
Right,Central,2025,Q3,Honeywell,8,Composite,2,2.5,115.0,657.0,772.0,3.32,Fail
Left,Central,2023,Q3,CATU,8,Latex Rubber,2,3.5,741.0,539.0,1280.0,3.889,Fail
Left,South,2024,Q4,Honeywell,10,Latex Rubber,3,1.5,974.0,599.0,1573.0,3.362,Fail
Left,North,2023,Q4,Honeywell,9,Composite,4,2.5,142.0,233.0,375.0,2.208,Pass
Right,North,2025,Q2,3M,7,EPDM,3,1.5,543.0,348.0,891.0,2.511,Pass
Left,North,2023,Q4,Honeywell,10,EPDM,2,2.5,984.0,84.0,1068.0,2.274,Pass
Left,North,2025,Q4,3M,10,Composite,3,3.5,278.0,357.0,635.0,2.474,Pass
Right,North,2024,Q4,Honeywell,9,Latex Rubber,2,1.0,682.0,400.0,1082.0,0.454,Pass
Left,North,2023,Q4,Novax,10,Composite,4,1.5,800.0,294.0,1094.0,2.703,Pass
Left,South,2023,Q1,Novax,10,Composite,4,4.0,27.0,459.0,486.0,3.708,Fail
Left,North,2023,Q4,Honeywell,7,EPDM,4,3.5,126.0,847.0,973.0,2.824,Pass
Left,Central,2024,Q1,Honeywell,7,EPDM,2,2.25,807.0,675.0,1482.0,2.744,Pass
Left,South,2023,Q1,3M,7,Composite,3,2.0,1177.0,132.0,1309.0,2.201,Pass
Right,Central,2025,Q4,Honeywell,8,EPDM,4,1.25,560.0,706.0,1266.0,2.318,Pass
Right,South,2024,Q3,CATU,8,EPDM,2,2.0,938.0,547.0,1485.0,3.299,Fail
Right,North,2023,Q1,Honeywell,7,Composite,2,3.5,762.0,363.0,1125.0,2.366,Pass
Left,North,2024,Q3,CATU,7,Composite,3,2.75,431.0,531.0,962.0,2.883,Pass
Left,North,2024,Q3,3M,8,EPDM,4,1.25,655.0,317.0,972.0,1.724,Pass
Left,North,2023,Q4,Honeywell,9,Composite,2,0.75,567.0,79.0,646.0,1.351,Pass
Right,North,2023,Q2,3M,10,Latex Rubber,3,1.0,59.0,550.0,609.0,1.628,Pass
Left,North,2023,Q4,Honeywell,10,Latex Rubber,4,0.75,687.0,875.0,1562.0,2.024,Pass
Left,North,2024,Q2,CATU,7,Latex Rubber,3,0.5,115.0,200.0,315.0,0.807,Pass
Right,North,2024,Q2,3M,9,Composite,3,1.75,667.0,847.0,1514.0,2.518,Pass
Left,Central,2024,Q4,Honeywell,8,Latex Rubber,2,0.5,1105.0,33.0,1138.0,2.084,Pass
Right,North,2025,Q4,3M,7,EPDM,2,0.75,997.0,710.0,1707.0,2.458,Pass
Right,Central,2025,Q2,CATU,9,Composite,2,2.25,851.0,20.0,871.0,2.432,Pass
Right,Central,2024,Q4,Honeywell,9,Composite,3,0.75,455.0,427.0,882.0,0.871,Pass
Left,South,2025,Q2,3M,9,Composite,2,0.25,79.0,593.0,672.0,0.853,Pass
Left,North,2023,Q3,Novax,8,EPDM,3,1.25,159.0,809.0,968.0,2.308,Pass
Left,South,2023,Q4,3M,8,EPDM,3,1.0,783.0,597.0,1380.0,2.111,Pass
Left,South,2023,Q3,3M,10,Composite,2,2.0,1132.0,409.0,1541.0,3.117,Fail
Left,North,2023,Q1,Honeywell,10,EPDM,4,0.5,953.0,640.0,1593.0,2.892,Pass
Left,South,2024,Q3,CATU,9,Composite,4,3.0,464.0,535.0,999.0,3.368,Fail
Left,South,2025,Q3,3M,9,EPDM,4,3.5,1137.0,618.0,1755.0,3.851,Fail
Right,North,2023,Q2,CATU,8,EPDM,3,3.0,955.0,81.0,1036.0,2.627,Pass
Left,North,2023,Q3,CATU,10,Latex Rubber,3,2.25,610.0,233.0,843.0,1.019,Pass
Right,South,2024,Q4,Novax,9,Latex Rubber,3,3.5,662.0,301.0,963.0,3.008,Fail
Left,South,2025,Q2,CATU,10,EPDM,2,2.75,734.0,514.0,1248.0,2.773,Pass
Left,North,2023,Q1,Honeywell,10,EPDM,3,0.0,242.0,719.0,961.0,1.36,Pass
Left,North,2024,Q4,Novax,9,EPDM,2,1.5,260.0,577.0,837.0,1.801,Pass
Right,Central,2023,Q1,CATU,8,Latex Rubber,2,3.5,88.0,542.0,630.0,2.632,Pass
Right,Central,2023,Q3,Novax,9,Composite,4,1.5,1085.0,587.0,1672.0,1.74,Pass
Right,South,2025,Q4,CATU,9,Composite,4,0.25,907.0,619.0,1526.0,1.341,Pass
Right,Central,2025,Q4,Novax,10,Composite,4,3.0,930.0,330.0,1260.0,3.322,Fail
Left,Central,2023,Q1,3M,9,EPDM,2,3.25,790.0,367.0,1157.0,3.987,Fail
Right,South,2025,Q4,Honeywell,8,EPDM,2,0.75,235.0,673.0,908.0,1.481,Pass
Left,North,2024,Q4,Honeywell,9,Latex Rubber,2,2.25,1084.0,879.0,1963.0,3.468,Fail
Left,North,2025,Q4,CATU,8,Composite,3,0.75,1067.0,363.0,1430.0,2.476,Pass
Right,South,2024,Q3,Honeywell,8,EPDM,2,3.0,812.0,710.0,1522.0,2.914,Pass
Right,South,2024,Q1,Honeywell,10,Latex Rubber,4,1.0,751.0,791.0,1542.0,2.421,Pass
Right,Central,2024,Q4,3M,7,Latex Rubber,4,1.25,140.0,328.0,468.0,1.038,Pass
Right,Central,2024,Q2,3M,7,EPDM,2,3.5,1032.0,702.0,1734.0,4.218,Fail
Right,North,2023,Q2,Honeywell,10,EPDM,2,2.0,641.0,330.0,971.0,2.35,Pass
Right,Central,2023,Q2,Honeywell,9,Composite,4,2.75,847.0,629.0,1476.0,3.29,Fail
Right,Central,2023,Q2,Novax,10,Latex Rubber,2,1.5,768.0,829.0,1597.0,2.171,Pass
Right,North,2024,Q3,Honeywell,8,Composite,4,1.25,713.0,169.0,882.0,2.135,Pass
Left,North,2023,Q4,Novax,7,Latex Rubber,3,2.5,506.0,577.0,1083.0,3.692,Fail
Right,Central,2024,Q1,Honeywell,10,EPDM,4,0.5,332.0,608.0,940.0,0.917,Pass
Right,North,2025,Q4,CATU,9,EPDM,3,1.5,624.0,802.0,1426.0,2.239,Pass
Left,Central,2023,Q3,3M,10,Composite,2,0.75,338.0,459.0,797.0,1.546,Pass
Right,North,2024,Q2,Honeywell,7,EPDM,2,2.75,142.0,157.0,299.0,2.475,Pass
Left,Central,2024,Q3,Honeywell,10,EPDM,3,3.75,844.0,741.0,1585.0,3.509,Fail
Left,North,2025,Q4,3M,10,Composite,2,4.0,660.0,131.0,791.0,1.795,Pass
Right,South,2023,Q1,CATU,7,EPDM,3,1.75,130.0,197.0,327.0,2.236,Pass
Left,South,2024,Q3,Novax,8,Latex Rubber,2,1.0,615.0,631.0,1246.0,2.352,Pass
Left,South,2025,Q1,Honeywell,8,EPDM,4,1.75,974.0,778.0,1752.0,1.968,Pass
Left,South,2025,Q3,CATU,7,EPDM,2,3.5,138.0,534.0,672.0,2.526,Pass
Left,Central,2024,Q1,Honeywell,10,Composite,4,0.75,1124.0,14.0,1138.0,2.521,Pass
Right,North,2024,Q1,3M,7,EPDM,4,3.75,38.0,96.0,134.0,3.207,Fail
Left,Central,2024,Q2,CATU,8,Composite,3,1.25,731.0,143.0,874.0,2.243,Pass
Right,South,2025,Q1,CATU,9,EPDM,2,4.0,342.0,485.0,827.0,3.156,Fail
Left,South,2024,Q2,3M,10,Latex Rubber,3,3.25,1163.0,453.0,1616.0,3.583,Fail
Left,Central,2023,Q4,Honeywell,8,EPDM,2,3.25,953.0,337.0,1290.0,3.183,Fail
Left,North,2025,Q4,CATU,10,Composite,4,1.25,1057.0,873.0,1930.0,3.289,Fail
Left,North,2024,Q2,Novax,7,EPDM,4,0.0,1132.0,344.0,1476.0,1.19,Pass
Right,Central,2024,Q2,Novax,9,EPDM,2,1.5,365.0,56.0,421.0,1.101,Pass
Right,South,2023,Q3,3M,7,EPDM,2,1.25,148.0,711.0,859.0,2.266,Pass
Left,South,2024,Q3,Honeywell,9,Latex Rubber,3,0.25,38.0,470.0,508.0,0.873,Pass
Left,Central,2024,Q3,Honeywell,10,Latex Rubber,2,2.0,940.0,722.0,1662.0,3.585,Fail
Right,South,2024,Q4,Novax,10,EPDM,2,1.5,505.0,803.0,1308.0,1.966,Pass
Left,South,2023,Q3,3M,7,EPDM,2,2.5,1023.0,479.0,1502.0,2.999,Pass
Left,North,2024,Q1,Honeywell,9,Composite,3,2.5,664.0,405.0,1069.0,2.176,Pass
Left,North,2025,Q1,Honeywell,9,Composite,2,0.5,837.0,443.0,1280.0,1.731,Pass
Right,North,2023,Q3,CATU,10,EPDM,4,4.0,360.0,882.0,1242.0,2.879,Pass
Right,North,2025,Q1,3M,7,EPDM,3,0.75,563.0,609.0,1172.0,1.523,Pass
Right,North,2024,Q4,Honeywell,9,EPDM,3,1.75,308.0,825.0,1133.0,1.564,Pass
Left,North,2025,Q1,Honeywell,10,EPDM,4,2.0,73.0,661.0,734.0,2.408,Pass
Left,North,2025,Q4,CATU,8,Composite,4,3.25,764.0,602.0,1366.0,3.675,Fail
Right,North,2024,Q2,Honeywell,7,EPDM,4,0.5,779.0,513.0,1292.0,0.873,Pass
Right,South,2024,Q2,CATU,8,Composite,2,1.75,843.0,157.0,1000.0,2.829,Pass
